Corrente do Motor;Taxa da Balanca
32,8;1851,535
31,9;1851,535
31,9;1592,529
31,9;1592,529
30,4;1592,529
30,4;861,1862
27,6;861,1862
27,6;440,9066
27,8;440,9066
27,8;206,9078
27,8;206,9078
27,8;101,5189
27,8;101,5189
27,7;50,48331
27,7;50,48331
27,6;50,48331
27,6;0
27,6;0
27,6;0
27,5;0
27,5;0
27,5;0
27,6;0
27,6;0
27,8;0
27,8;0
27,6;0
27,6;0
27,9;0
27,9;891,8077
27,9;891,8077
28,6;891,8077
28,6;2736,24
31,5;2736,24
31,5;4673,813
41,8;4673,813
41,8;6226,576
49,6;6226,576
49,6;7721,158
49,6;7721,158
61,7;7721,158
61,7;8997,053
72,2;8997,053
72,2;10160,41
72,8;10160,41
72,8;11005,05
73,6;11005,05
73,6;11121,93
72,3;11121,93
72,3;11121,93
72,3;10775,39
62,8;10775,39
62,8;10438,81
60,3;10438,81
60,3;10273,2
61,3;10273,2
61,3;10315,05
61,3;10315,05
65,3;10315,05
65,3;10552,62
68,8;10552,62
68,8;10387,78
62,8;10387,78
62,8;9826,894
54;9826,894
54;9712,573
54;9712,573
55,9;9988,932
55,9;9988,932
64,1;9988,932
64,1;10170,37
68;10170,37
68;10282,39
65,6;10282,39
65,6;10040,99
62,4;10040,99
62,4;10040,99
62,4;9608,461
63,7;9608,461
63,7;9697,007
57,7;9697,007
57,7;10702,16
80,6;10702,16
80,6;11529,19
78,4;11529,19
78,4;11127,03
78,4;11127,03
65,6;11127,03
65,6;8333,332
42,2;8333,332
42,2;6232,189
38,3;6232,189
38,3;6339,365
38,5;6339,365
38,5;7708,144
38,5;7708,144
54,7;7708,144
54,7;9651,331
87,3;10460,5
87,3;9983,574
70,9;9983,574
70,9;9865,936
46,2;9865,936
46,2;9623,006
33,7;9623,006
33,7;6783,631
33,7;6783,631
28,6;6783,631
28,6;3724,038
28,1;3724,038
28,1;3073,842
33,2;3073,842
33,2;4793,492
45,2;4793,492
45,2;7036,514
62,7;7036,514
62,7;7036,514
62,7;9188,947
80,9;9188,947
80,9;10628,67
80,6;10628,67
80,6;11423,55
74,7;11423,55
74,7;11289,83
74,7;11289,83
55,5;9410,187
55,5;9410,187
42,9;9410,187
42,9;7042,127
37,5;7042,127
37,5;5864,222
39,4;5864,222
39,4;6209,99
39,4;6209,99
47,1;6956,388
47,1;6956,388
54,6;6956,388
54,6;7074,535
50,8;7074,535
50,8;6430,209
47,2;6430,209
47,2;5166,563
40,3;5166,563
40,3;3430,837
40,3;3430,837
34,2;3430,837
34,2;2154,177
31,1;2154,177
31,1;1084,468
27,6;1084,468
27,6;534,5576
27,7;534,5576
27,7;252,5848
27,7;252,5848
27,5;252,5848
27,5;121,9333
27,9;121,9333
27,9;60,43525
27,6;60,43525
27,6;32,8761
27,6;32,8761
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,8;0
27,8;0
27,7;0
27,7;204,8663
27,6;204,8663
27,6;204,8663
27,6;225,0256
27,6;225,0256
27,6;107,3881
27,5;107,3881
27,5;57,3729
27,8;57,3729
27,8;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,7;0
27,7;0
27,6;0
27,6;0
27,6;0
27,6;0
27,4;0
27,4;0
27,4;0
27,5;0
27,5;0
27,6;0
27,6;388,5952
28;388,5952
28;1437,38
30;1437,38
30;2343,01
30;2343,01
31;2343,01
31;2842,395
32,2;2842,395
32,2;3281,812
32,5;3281,812
32,5;3819,985
34;3819,985
34;3711,023
34;3711,023
35,4;3374,442
35,4;3374,442
33;3374,442
33;2784,469
30;2784,469
30;1901,806
29,2;1901,806
29,2;1433,552
28,1;1433,552
28,1;1433,552
28,1;1265,9
28,7;1265,9
28,7;945,9056
28,9;945,9056
28,9;667,7608
28,1;667,7608
28,1;316,3795
27,6;316,3795
27,6;316,3795
27,6;152,5548
27,6;152,5548
27,6;80,08402
27,7;80,08402
27,7;136,4786
27,6;136,4786
27,6;70,89738
27,5;70,89738
27,5;33,3863
27,5;33,3863
27,4;33,3863
27,4;0
27,5;0
27,5;0
27,7;0
27,7;50,48331
28;50,48331
28;259,985
28;259,985
27,9;259,985
27,9;414,1132
27,8;414,1132
27,8;509,8049
27,7;509,8049
27,7;521,0331
27,7;521,0331
27,9;513,3774
27,9;513,3774
28,1;513,3774
28,1;561,6066
28,3;561,6066
28,3;952,7956
28,3;952,7956
28,3;1949,013
30,3;1949,013
30,3;2578,284
32,1;2578,284
32,1;2405,018
32,1;2405,018
32,5;2405,018
32,5;1747,933
29,3;1747,933
29,3;1857,915
29,7;1857,915
29,7;3178,465
29,7;3178,465
34,8;4934,095
34,8;4934,095
41,7;4934,095
41,7;6653,234
55,5;6653,234
55,5;7985,268
58,1;7985,268
58,1;8965,155
69,1;8965,155
69,1;9826,384
