Corrente do Motor;Taxa da Balanca
45,5;7775,256
69,6;7775,256
69,6;7775,256
64,5;7070,453
64,5;7070,453
64,5;6131,139
44,5;6131,139
44,5;6339,875
31,9;6339,875
31,9;7034,217
55,3;7034,217
55,3;7010,741
63,3;7010,741
63,3;7010,741
55,4;6277,356
55,4;6277,356
55,4;4866,473
46;4866,473
46;3161,113
34,1;3161,113
34,1;2878,12
28,7;2878,12
28,7;2878,12
33;4519,94
33;4519,94
33;5822,373
53,6;5822,373
53,6;6255,667
59;6255,667
59;5990,791
44,4;5990,791
44,4;5990,791
39,4;6335,792
39,4;6335,792
39,4;7361,356
35,4;7361,356
35,4;7798,988
66,8;7798,988
66,8;7301,645
51,9;7301,645
51,9;5866,519
37,1;5866,519
37,1;5866,519
32,6;4391,585
32,6;4391,585
32,6;4128,241
31,6;4128,241
31,6;4705,965
34,7;4705,965
34,7;5052,499
44,1;5052,499
44,1;5052,499
48,1;4613,59
48,1;4613,59
48,1;4350,246
40,3;4350,246
40,3;3903,684
41;3903,684
41;3453,803
36,5;3453,803
36,5;3453,803
35;3616,352
35;3616,352
35;3666,367
41;3666,367
41;3465,031
39,2;3465,031
39,2;2974,322
35,8;2974,322
35,8;2974,322
32,8;2776,559
32,8;2776,559
32,8;3933,284
30,2;3933,284
30,2;5698,355
40,9;5698,355
40,9;7428,213
59,8;7428,213
59,8;8250,144
69,4;8250,144
69,4;8250,144
55,9;8320,063
55,9;8320,063
55,9;7915,859
46,9;7915,859
46,9;7388,15
44,4;7388,15
44,4;7112,812
47,1;7112,812
47,1;7112,812
46,6;7107,963
46,6;7107,963
46,6;7218,201
48,5;7218,201
48,5;7145,219
47,6;7145,219
47,6;7014,313
45,4;7014,313
45,4;7014,313
45,5;7268,726
45,5;7268,726
45,5;7490,476
50,3;7490,476
50,3;7477,973
53,4;7477,973
53,4;7224,325
47,7;7224,325
47,7;7224,325
46,1;6996,706
46,1;6996,706
46,1;7258,264
44,9;7258,264
44,9;7688,751
55,7;7688,751
55,7;7842,624
55,1;7842,624
55,1;7842,624
47,2;7886,769
47,2;7886,769
47,2;7565,499
51,4;7565,499
51,4;6970,932
46,7;6970,932
46,7;4171,11
41,7;4171,11
41,7;4171,11
40,2;5652,679
40,2;5652,679
40,2;5656,762
39,6;5656,762
39,6;6167,119
42,8;6167,119
42,8;6551,164
45,5;6551,164
45,5;6551,164
48,9;6962,767
48,9;6962,767
48,9;7557,078
48,2;7557,078
48,2;7733,662
53,4;7733,662
53,4;7487,669
55,4;7487,669
55,4;7487,669
47,6;6900,758
47,6;6900,758
47,6;6492,728
40,7;6492,728
40,7;6535,853
39,5;6535,853
39,5;6633,331
48;6633,331
48;6633,331
48,2;6829,818
48,2;6829,818
48,2;7621,893
46,2;7621,893
46,2;8410,141
61,3;8410,141
61,3;8514,509
61,6;8514,509
61,6;8514,509
53,4;7663,743
53,4;7663,743
53,4;6208,714
35;6208,714
35;5376,83
34,6;5376,83
34,6;5607,768
40,3;5607,768
40,3;5607,768
43,6;6116,338
43,6;6116,338
43,6;6495,024
46,8;6495,024
46,8;6746,375
50;6746,375
50;6821,653
47,9;6821,653
47,9;6898,972
46,5;6898,972
46,5;6898,972
43,6;7268,216
43,6;7268,216
43,6;7736,468
47,6;7736,468
47,6;7882,941
51,9;7882,941
51,9;7355,231
48,2;7355,231
48,2;7355,231
43,2;6471,037
43,2;6471,037
43,2;6091,076
38,7;6091,076
38,7;6438,374
40,7;6438,374
40,7;7242,698
42,1;7242,698
42,1;7242,698
70,3;8289,441
70,3;8289,441
70,3;8618,367
68,2;8618,367
68,2;8205,232
61;8205,232
61;7214,628
41,8;7214,628
41,8;7214,628
41,8;5818,544
41,8;5818,544
34,9;5100,217
34,9;5100,217
34,9;5049,437
36,2;5049,437
36,2;5559,283
40,9;5559,283
40,9;6107,917
43,7;6107,917
43,7;6107,917
46,6;6573,109
46,6;6573,109
46,6;7076,322
49,3;7076,322
49,3;7877,838
52,6;7877,838
52,6;8423,41
60,5;8423,41
60,5;8423,41
61,3;8491,799
61,3;8491,799
61,3;8134,803
51,4;8134,803
51,4;7166,144
46,3;7166,144
46,3;5804,51
37,9;5804,51
37,9;5804,51
